dataset,design,error,exact_result,filename,mean_approx_result,query,result_size,sampling_rate,selectivity
skew,WD,33.506,146463546,WD_06-samplingRate50.0pc.log,146675820,6,1005,50,-1
skew,WD,187.817,34167596668,WD_Selectivity01_06-samplingRate1.00pc.log,30659109685,6,1003,1,1
skew,WD,219.321,34167596668,WD_Selectivity01_06-samplingRate2.00pc.log,42512934466,6,1005,2,1
skew,WD,207.360,34167596668,WD_Selectivity01_06-samplingRate5.00pc.log,40803827860,6,1005,5,1
skew,WD,181.870,34167596668,WD_Selectivity01_06-samplingRate10.0pc.log,35013890831,6,1005,10,1
skew,WD,159.304,34167596668,WD_Selectivity01_06-samplingRate20.0pc.log,33828608833,6,1005,20,1
skew,WD,99.937,34167596668,WD_Selectivity01_06-samplingRate50.0pc.log,33318231674,6,1005,50,1
skew,WD,164.679,282536535829,WD_Selectivity20_06-samplingRate1.00pc.log,273105243498,6,1005,1,20
skew,WD,157.338,282536535829,WD_Selectivity20_06-samplingRate2.00pc.log,292217736214,6,1005,2,20
skew,WD,128.330,282536535829,WD_Selectivity20_06-samplingRate5.00pc.log,290984441367,6,1005,5,20
skew,WD,103.031,282536535829,WD_Selectivity20_06-samplingRate10.0pc.log,289472139070,6,1005,10,20
skew,WD,65.856,282536535829,WD_Selectivity20_06-samplingRate20.0pc.log,284752359948,6,1005,20,20
skew,WD,32.102,282536535829,WD_Selectivity20_06-samplingRate50.0pc.log,288058538064,6,1005,50,20
skew,WD,198.620,767126984979,WD_Selectivity80_06-samplingRate1.00pc.log,937306875926,6,1005,1,80
skew,WD,139.199,767126984979,WD_Selectivity80_06-samplingRate2.00pc.log,570723547143,6,1005,2,80
skew,WD,149.585,767126984979,WD_Selectivity80_06-samplingRate5.00pc.log,817232360581,6,1005,5,80
skew,WD,119.059,767126984979,WD_Selectivity80_06-samplingRate10.0pc.log,784581593496,6,1005,10,80
skew,WD,99.231,767126984979,WD_Selectivity80_06-samplingRate20.0pc.log,724561553335,6,1005,20,80
skew,WD,62.790,767126984979,WD_Selectivity80_06-samplingRate50.0pc.log,766222588827,6,1005,50,80
skew,SdWithRedundancy,0.263,217055596240,SdWithRedundancy_09-samplingRate1.00pc.log,217046810444,9,1005,1,-1
skew,SdWithRedundancy,0.195,217055596240,SdWithRedundancy_09-samplingRate2.00pc.log,217043058795,9,1005,2,-1
skew,SdWithRedundancy,0.122,217055596240,SdWithRedundancy_09-samplingRate5.00pc.log,217067767853,9,1005,5,-1
skew,SdWithRedundancy,0.080,217055596240,SdWithRedundancy_09-samplingRate10.0pc.log,217058318193,9,1005,10,-1
skew,SdWithRedundancy,0.052,217055596240,SdWithRedundancy_09-samplingRate20.0pc.log,217055161234,9,485,20,-1
skew,SdWithRedundancy,0.028,217055596240,SdWithRedundancy_09-samplingRate50.0pc.log,217037461485,9,60,50,-1
skew,SdWoRedundancy,195.504,217055596240,SdWoRedundancy_09-samplingRate1.00pc.log,257917484890,9,668,1,-1
skew,SdWoRedundancy,160.866,217055596240,SdWoRedundancy_09-samplingRate2.00pc.log,181297831420,9,969,2,-1
skew,SdWoRedundancy,156.607,217055596240,SdWoRedundancy_09-samplingRate5.00pc.log,191217525397,9,1005,5,-1
skew,SdWoRedundancy,147.949,217055596240,SdWoRedundancy_09-samplingRate10.0pc.log,205298114035,9,1005,10,-1
skew,SdWoRedundancy,123.798,217055596240,SdWoRedundancy_09-samplingRate20.0pc.log,218611029557,9,1005,20,-1
skew,SdWoRedundancy,77.433,217055596240,SdWoRedundancy_09-samplingRate50.0pc.log,215194620287,9,1005,50,-1
skew,WD,151.278,217055596240,WD_09-samplingRate1.00pc.log,145103164748,9,1005,1,-1
skew,WD,195.069,217055596240,WD_09-samplingRate2.00pc.log,260575196570,9,1005,2,-1
skew,WD,167.596,217055596240,WD_09-samplingRate5.00pc.log,215672321435,9,1005,5,-1
skew,WD,152.891,217055596240,WD_09-samplingRate10.0pc.log,222704206709,9,1005,10,-1
skew,WD,130.488,217055596240,WD_09-samplingRate20.0pc.log,240537021769,9,1005,20,-1
skew,WD,77.859,217055596240,WD_09-samplingRate50.0pc.log,212451639482,9,1005,50,-1
skew,SdWithRedundancy,9.013,390335165,SdWithRedundancy_19-samplingRate1.00pc.log,387497231,19,1005,1,-1
skew,SdWithRedundancy,6.174,390335165,SdWithRedundancy_19-samplingRate2.00pc.log,389397753,19,1005,2,-1
skew,SdWithRedundancy,3.869,390335165,SdWithRedundancy_19-samplingRate5.00pc.log,389989310,19,1005,5,-1
skew,SdWithRedundancy,2.779,390335165,SdWithRedundancy_19-samplingRate10.0pc.log,391410169,19,1005,10,-1
skew,SdWithRedundancy,1.901,390335165,SdWithRedundancy_19-samplingRate20.0pc.log,390263447,19,1005,20,-1
skew,SdWithRedundancy,0.913,390335165,SdWithRedundancy_19-samplingRate50.0pc.log,390257709,19,1005,50,-1
skew,SdWoRedundancy,10076.698,390335165,SdWoRedundancy_19-samplingRate1.00pc.log,39723230003,19,7,1,-1
skew,SdWoRedundancy,4651.862,390335165,SdWoRedundancy_19-samplingRate2.00pc.log,18522428238,19,21,2,-1
skew,SdWoRedundancy,1821.845,390335165,SdWoRedundancy_19-samplingRate5.00pc.log,7471893604,19,76,5,-1
skew,SdWoRedundancy,789.027,390335165,SdWoRedundancy_19-samplingRate10.0pc.log,3363096566,19,130,10,-1
skew,SdWoRedundancy,334.757,390335165,SdWoRedundancy_19-samplingRate20.0pc.log,1523949940,19,261,20,-1
skew,SdWoRedundancy,100.157,390335165,SdWoRedundancy_19-samplingRate50.0pc.log,554941431,19,724,50,-1
skew,WD,3526.062,390335165,WD_19-samplingRate1.00pc.log,13651391892,19,20,1,-1
skew,WD,1560.529,390335165,WD_19-samplingRate2.00pc.log,5941250965,19,46,2,-1
skew,WD,707.435,390335165,WD_19-samplingRate5.00pc.log,2635659664,19,154,5,-1
skew,WD,398.442,390335165,WD_19-samplingRate10.0pc.log,1456757811,19,276,10,-1
skew,WD,223.315,390335165,WD_19-samplingRate20.0pc.log,802646546,19,462,20,-1
skew,WD,99.977,390335165,WD_19-samplingRate50.0pc.log,438047193,19,859,50,-1
